cancer,feature_internal,feature_display,beta,pathways,variant_types,logic,gene,n_altered_train,freq_train,univ_HR,univ_p,abs_logHR,contribution,rank_in_feature
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,count of retained pathways with >=1 alteration (all pathways),IRS2,110,0.024,1.038,0.7555236589116852,0.0376,0.0009,115.0
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,count of retained pathways with >=1 alteration (all pathways),NOTCH2,129,0.0281,0.97,0.7907867785725244,0.0308,0.0009,115.0
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,count of retained pathways with >=1 alteration (all pathways),PTPN11,42,0.0092,0.908,0.6263370332568641,0.0967,0.0009,115.0
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,count of retained pathways with >=1 alteration (all pathways),SPEN,118,0.0257,0.967,0.7869314832550622,0.0334,0.0009,115.0
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,count of retained pathways with >=1 alteration (all pathways),CHEK2,45,0.0098,1.086,0.6585662404379721,0.0823,0.0008,122.0
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,count of retained pathways with >=1 alteration (all pathways),RAD51B,26,0.0057,1.156,0.5267904572035843,0.1449,0.0008,122.0
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,count of retained pathways with >=1 alteration (all pathways),RECQL4,187,0.0408,1.021,0.8310976670446552,0.0208,0.0008,122.0
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,count of retained pathways with >=1 alteration (all pathways),TET2,93,0.0203,0.961,0.7747226221954887,0.0398,0.0008,122.0
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,count of retained pathways with >=1 alteration (all pathways),ARAF,90,0.0196,0.966,0.8033490397941792,0.0348,0.0007,126.0
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,count of retained pathways with >=1 alteration (all pathways),CBL,66,0.0144,1.052,0.7503335292040615,0.0512,0.0007,126.0
